               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.076441,             0.02319,            0.054631,             0.23721,             0.34423,             0.24031,            0.071381,            0.041927,            0.012026,            0.034424,            0.070102,            0.003322,            0.003322
                   1,            0.057075,            0.017116,             0.03866,             0.29093,             0.57014,             0.36523,             0.14135,             0.03897,           0.0088786,            0.024639,            0.040036,           0.0065895,           0.0065895
                   2,            0.053878,             0.01463,            0.031549,             0.38746,              0.6214,             0.52037,             0.20453,            0.038481,           0.0079708,            0.020752,           0.0099039,           0.0097909,           0.0097909
                   3,            0.049747,             0.01404,            0.028461,             0.47441,             0.70106,              0.6375,             0.26536,            0.035677,           0.0074653,            0.017851,            0.009703,            0.009703,            0.009703
                   4,            0.045979,            0.013747,            0.026164,             0.60715,             0.67756,             0.66672,             0.29796,            0.034925,           0.0072084,             0.01593,            0.009703,            0.009703,            0.009703
                   5,            0.045573,            0.013684,            0.023897,             0.66933,               0.673,              0.7129,             0.29629,             0.03359,           0.0071391,            0.014716,            0.009604,            0.009604,            0.009604
                   6,            0.044021,            0.013247,            0.023008,             0.63093,             0.76485,             0.75316,             0.32662,            0.032604,           0.0072313,            0.013663,            0.009505,            0.009505,            0.009505
                   7,            0.042896,            0.012704,            0.021833,             0.72635,             0.77775,             0.77857,             0.35201,             0.03097,           0.0070449,            0.012955,            0.009406,            0.009406,            0.009406
                   8,            0.042007,            0.012859,            0.020874,              0.7806,             0.71153,             0.79005,              0.3674,            0.030227,           0.0068525,            0.011979,            0.009307,            0.009307,            0.009307
                   9,            0.041624,            0.012773,            0.019601,               0.751,              0.7468,             0.78979,             0.36756,            0.030594,           0.0068672,            0.013021,            0.009208,            0.009208,            0.009208
                  10,            0.041145,            0.012901,            0.019493,             0.74471,             0.75008,              0.7637,             0.33342,            0.031131,           0.0066195,            0.011708,            0.009109,            0.009109,            0.009109
                  11,            0.040314,            0.012419,            0.018824,             0.75257,             0.79088,             0.80088,             0.37203,            0.031134,           0.0068464,            0.010396,             0.00901,             0.00901,             0.00901
                  12,            0.040002,            0.012695,            0.017937,              0.8028,             0.79218,             0.84179,             0.42341,            0.029301,           0.0065132,            0.010305,            0.008911,            0.008911,            0.008911
                  13,             0.04006,            0.012484,            0.018368,             0.76538,             0.82218,             0.84029,              0.4096,            0.029997,           0.0066691,            0.010449,            0.008812,            0.008812,            0.008812
                  14,            0.038965,            0.012556,            0.017594,             0.78887,              0.7771,             0.83865,             0.40686,            0.029351,           0.0066003,            0.010718,            0.008713,            0.008713,            0.008713
                  15,            0.039127,            0.012327,            0.016239,             0.78574,             0.78871,             0.82527,             0.39941,             0.02929,           0.0064906,            0.010602,            0.008614,            0.008614,            0.008614
                  16,             0.03843,            0.012238,            0.016577,             0.79685,             0.80815,             0.83894,                0.42,            0.028792,           0.0064529,            0.010249,            0.008515,            0.008515,            0.008515
                  17,            0.037651,            0.012259,            0.015705,             0.83032,             0.83202,              0.8711,             0.42686,            0.028395,           0.0064539,           0.0088278,            0.008416,            0.008416,            0.008416
                  18,            0.037731,            0.012216,            0.015316,             0.81114,             0.82585,             0.85826,             0.41021,            0.029262,           0.0064298,           0.0090893,            0.008317,            0.008317,            0.008317
                  19,            0.037733,            0.011809,             0.01614,             0.77659,             0.83297,             0.85419,             0.41605,            0.028922,           0.0067217,           0.0093946,            0.008218,            0.008218,            0.008218
                  20,            0.037278,            0.012118,            0.015527,             0.81641,             0.81874,             0.84243,               0.407,            0.029928,           0.0064913,           0.0084255,            0.008119,            0.008119,            0.008119
                  21,            0.037481,            0.012027,            0.015069,             0.85075,             0.85388,             0.88663,             0.44034,            0.027895,           0.0063357,           0.0086654,             0.00802,             0.00802,             0.00802
                  22,            0.037245,            0.011971,            0.014166,             0.82782,             0.83699,             0.86897,             0.42997,            0.027872,           0.0065156,           0.0088188,            0.007921,            0.007921,            0.007921
                  23,            0.036976,            0.012141,            0.015495,             0.84301,             0.83219,             0.87234,             0.43588,            0.028425,           0.0065176,           0.0086008,            0.007822,            0.007822,            0.007822
                  24,            0.037385,            0.012134,             0.01471,             0.79639,             0.83435,             0.84267,             0.41658,            0.028192,           0.0064784,           0.0083933,            0.007723,            0.007723,            0.007723
                  25,            0.036548,            0.011945,            0.014801,             0.84066,             0.83588,             0.88309,             0.44595,            0.027385,           0.0065035,           0.0084391,            0.007624,            0.007624,            0.007624
                  26,            0.036216,            0.012234,            0.013953,             0.84192,             0.84382,             0.88455,             0.45476,            0.027696,           0.0064478,            0.007665,            0.007525,            0.007525,            0.007525
                  27,            0.036357,            0.011838,            0.013938,             0.80869,             0.87362,             0.88521,             0.45263,            0.027338,           0.0063494,            0.007985,            0.007426,            0.007426,            0.007426
                  28,            0.036258,             0.01176,            0.014012,             0.83525,              0.8789,             0.89761,              0.4678,            0.027303,           0.0063567,           0.0076221,            0.007327,            0.007327,            0.007327
                  29,            0.036055,            0.011955,            0.013441,             0.83049,               0.846,              0.8826,             0.45773,            0.027094,           0.0064023,           0.0082962,            0.007228,            0.007228,            0.007228
                  30,            0.035664,            0.011744,            0.013001,             0.84368,             0.85837,             0.88746,              0.4542,            0.027063,           0.0063761,           0.0074572,            0.007129,            0.007129,            0.007129
                  31,            0.036054,            0.011862,            0.013317,             0.84118,             0.86218,             0.88822,             0.45865,            0.027377,            0.006311,           0.0074465,             0.00703,             0.00703,             0.00703
                  32,             0.03536,            0.011816,            0.012084,             0.82957,             0.86338,             0.88806,             0.44914,            0.027553,           0.0063044,            0.007038,            0.006931,            0.006931,            0.006931
                  33,            0.035556,            0.011894,            0.012486,             0.84928,             0.85918,              0.8987,              0.4657,            0.026319,           0.0063007,           0.0075748,            0.006832,            0.006832,            0.006832
                  34,            0.035584,            0.011844,            0.012447,             0.83544,             0.86887,             0.90417,             0.46211,            0.026949,           0.0062283,           0.0078943,            0.006733,            0.006733,            0.006733
                  35,            0.035006,            0.011698,            0.012534,             0.85689,             0.85495,             0.89817,             0.47036,            0.026932,           0.0062716,            0.007586,            0.006634,            0.006634,            0.006634
                  36,            0.035596,            0.011699,            0.013083,             0.85865,             0.87484,             0.90275,             0.46422,            0.026793,           0.0063134,           0.0068887,            0.006535,            0.006535,            0.006535
                  37,            0.035573,            0.011744,            0.012887,             0.87006,             0.84435,             0.89084,             0.45905,            0.027049,           0.0062696,           0.0071872,            0.006436,            0.006436,            0.006436
                  38,            0.035345,            0.011755,            0.012434,             0.82928,             0.84816,              0.8809,              0.4498,            0.027545,           0.0063829,           0.0070274,            0.006337,            0.006337,            0.006337
                  39,            0.034851,            0.011967,            0.012043,             0.85484,             0.87208,             0.89716,             0.47625,            0.026455,            0.006216,           0.0072838,            0.006238,            0.006238,            0.006238
                  40,            0.034366,             0.01173,            0.011958,             0.89218,             0.87111,             0.92441,             0.48455,             0.02677,           0.0062791,           0.0063444,            0.006139,            0.006139,            0.006139
                  41,            0.034348,            0.011719,            0.011858,              0.8697,             0.88818,             0.91387,             0.48738,            0.026715,           0.0062059,           0.0068023,             0.00604,             0.00604,             0.00604
                  42,             0.03449,            0.011424,            0.012375,             0.85104,             0.86056,             0.90076,             0.46739,            0.026917,           0.0062145,           0.0066827,            0.005941,            0.005941,            0.005941
                  43,            0.034472,            0.011612,             0.01154,             0.87369,             0.87784,             0.91736,             0.48711,            0.026458,           0.0062251,           0.0066057,            0.005842,            0.005842,            0.005842
                  44,            0.034446,            0.011743,            0.011685,             0.86411,             0.88827,             0.92126,             0.49149,            0.026077,           0.0061455,           0.0067928,            0.005743,            0.005743,            0.005743
                  45,            0.034591,            0.011517,            0.011199,             0.86355,             0.89163,             0.91559,             0.47876,            0.026818,           0.0062067,           0.0067346,            0.005644,            0.005644,            0.005644
                  46,             0.03408,            0.011763,            0.011431,             0.85014,             0.87621,             0.91316,             0.48774,            0.026223,           0.0062614,           0.0069523,            0.005545,            0.005545,            0.005545
                  47,            0.034185,            0.011844,            0.010733,             0.86311,             0.86727,             0.89366,             0.47515,            0.026265,            0.006265,           0.0067327,            0.005446,            0.005446,            0.005446
                  48,              0.0335,            0.011513,            0.010463,             0.87688,             0.87536,             0.90727,              0.4935,            0.026109,           0.0062379,           0.0060868,            0.005347,            0.005347,            0.005347
                  49,            0.033579,            0.011372,            0.011231,             0.84604,             0.90354,             0.91807,             0.49434,             0.02591,           0.0062699,           0.0067678,            0.005248,            0.005248,            0.005248
                  50,             0.03396,            0.011494,            0.010987,             0.87692,             0.85619,             0.91519,              0.4931,            0.026244,           0.0061144,           0.0064679,            0.005149,            0.005149,            0.005149
                  51,            0.033751,            0.011443,            0.011024,             0.86461,             0.87891,             0.91241,             0.48479,            0.026496,           0.0062956,           0.0063017,             0.00505,             0.00505,             0.00505
                  52,            0.033575,            0.011622,            0.010609,             0.88015,             0.88262,             0.91678,             0.49308,            0.026164,           0.0062052,           0.0063263,            0.004951,            0.004951,            0.004951
                  53,            0.032989,            0.011526,            0.010918,             0.85534,             0.87755,             0.90983,             0.48446,             0.02586,             0.00613,           0.0070302,            0.004852,            0.004852,            0.004852
                  54,            0.033092,             0.01132,            0.010429,             0.87973,               0.869,             0.92017,             0.49923,            0.025908,           0.0061748,           0.0065439,            0.004753,            0.004753,            0.004753
                  55,            0.033043,            0.011059,            0.010528,             0.84699,             0.88025,             0.91606,              0.4954,            0.025879,           0.0061327,           0.0065241,            0.004654,            0.004654,            0.004654
                  56,            0.032397,            0.011581,           0.0097232,             0.87343,             0.87116,             0.91401,             0.49806,            0.025624,           0.0060951,           0.0058804,            0.004555,            0.004555,            0.004555
                  57,            0.032716,            0.011323,            0.011191,             0.86308,             0.86832,             0.91407,             0.49109,            0.025844,           0.0062427,           0.0059437,            0.004456,            0.004456,            0.004456
                  58,            0.032888,            0.011525,           0.0098272,             0.86735,             0.88086,             0.91878,             0.50086,            0.025501,           0.0060635,           0.0057542,            0.004357,            0.004357,            0.004357
                  59,             0.03268,            0.011153,           0.0096373,             0.87348,             0.88136,             0.92162,             0.50471,            0.025773,           0.0061282,            0.006237,            0.004258,            0.004258,            0.004258
                  60,            0.032879,            0.011282,             0.01056,             0.85781,             0.87714,             0.91285,              0.4922,            0.025898,            0.006147,           0.0067954,            0.004159,            0.004159,            0.004159
                  61,            0.033065,            0.011181,            0.010239,             0.88156,             0.85496,             0.91736,             0.50062,             0.02566,           0.0060645,           0.0063153,             0.00406,             0.00406,             0.00406
                  62,            0.032479,            0.011071,           0.0096974,             0.85211,             0.89873,             0.91731,             0.50754,             0.02543,           0.0060873,           0.0060214,            0.003961,            0.003961,            0.003961
                  63,             0.03278,            0.011107,            0.010585,             0.87591,             0.86872,             0.91328,             0.49523,            0.025753,           0.0061452,           0.0068758,            0.003862,            0.003862,            0.003862
                  64,             0.03218,            0.010921,            0.010004,             0.89223,             0.90255,              0.9246,             0.50975,            0.025598,           0.0060919,           0.0051458,            0.003763,            0.003763,            0.003763
                  65,            0.032399,            0.011159,            0.010531,             0.89952,             0.87834,             0.92472,             0.49881,            0.025579,           0.0061091,           0.0052073,            0.003664,            0.003664,            0.003664
                  66,            0.032139,            0.011118,           0.0098828,              0.8656,             0.88968,             0.92496,             0.50393,            0.025497,           0.0061101,            0.005514,            0.003565,            0.003565,            0.003565
                  67,            0.031144,            0.010986,           0.0090158,             0.87267,             0.89452,              0.9222,             0.51042,            0.025142,           0.0060661,           0.0054932,            0.003466,            0.003466,            0.003466
                  68,            0.031749,             0.01104,           0.0093881,             0.88848,              0.8827,             0.92204,             0.51987,            0.025025,           0.0060678,            0.006242,            0.003367,            0.003367,            0.003367
                  69,            0.031975,            0.011266,           0.0095531,             0.86808,             0.89992,             0.92587,             0.51549,             0.02541,            0.006026,           0.0059057,            0.003268,            0.003268,            0.003268
                  70,            0.031619,            0.011318,           0.0094663,             0.88905,             0.88967,             0.92356,             0.50999,            0.025396,           0.0060591,           0.0053892,            0.003169,            0.003169,            0.003169
                  71,            0.031573,            0.010957,           0.0092536,             0.88355,             0.91015,             0.93109,             0.51628,            0.024974,           0.0060269,           0.0054014,             0.00307,             0.00307,             0.00307
                  72,            0.031731,            0.010887,           0.0090275,             0.87374,              0.9028,             0.92756,             0.51482,            0.025075,           0.0061153,           0.0053083,            0.002971,            0.002971,            0.002971
                  73,            0.032216,            0.010855,           0.0097755,             0.87504,             0.89438,             0.92211,             0.51442,            0.024991,           0.0060064,           0.0059979,            0.002872,            0.002872,            0.002872
                  74,            0.031129,             0.01114,           0.0088804,              0.9032,             0.87793,              0.9311,             0.52124,            0.025132,           0.0059689,           0.0057535,            0.002773,            0.002773,            0.002773
                  75,             0.03105,            0.011052,           0.0093516,             0.86594,             0.90565,             0.92007,             0.52099,            0.024885,           0.0060407,           0.0059699,            0.002674,            0.002674,            0.002674
